,precision,recall,f1-score,support
傘,1.0,1.0,1.0,7.0
備,1.0,1.0,1.0,10.0
催,1.0,1.0,1.0,17.0
傭,1.0,1.0,1.0,7.0
傲,1.0,1.0,1.0,6.0
傳,1.0,1.0,1.0,10.0
債,1.0,1.0,1.0,7.0
傷,1.0,1.0,1.0,7.0
傻,1.0,1.0,1.0,7.0
傾,1.0,0.8823529411764706,0.9375,17.0
僅,1.0,1.0,1.0,7.0
像,1.0,1.0,1.0,7.0
僑,1.0,1.0,1.0,10.0
僕,1.0,1.0,1.0,17.0
僚,1.0,1.0,1.0,17.0
僧,1.0,1.0,1.0,17.0
僵,1.0,1.0,1.0,6.0
價,1.0,1.0,1.0,6.0
儀,1.0,0.9,0.9473684210526316,10.0
億,1.0,1.0,1.0,10.0
儉,1.0,1.0,1.0,6.0
儒,1.0,1.0,1.0,10.0
償,1.0,1.0,1.0,17.0
優,1.0,1.0,1.0,10.0
儲,1.0,1.0,1.0,7.0
允,1.0,1.0,1.0,10.0
元,1.0,1.0,1.0,10.0
兄,1.0,0.9411764705882353,0.9696969696969697,17.0
充,1.0,0.9411764705882353,0.9696969696969697,17.0
兆,1.0,1.0,1.0,10.0
兇,0.8,0.8571428571428571,0.8275862068965518,14.0
先,1.0,1.0,1.0,10.0
光,1.0,1.0,1.0,10.0
克,1.0,1.0,1.0,10.0
免,1.0,1.0,1.0,7.0
兒,1.0,0.9,0.9473684210526316,10.0
兔,1.0,1.0,1.0,16.0
兜,1.0,1.0,1.0,7.0
入,1.0,1.0,1.0,17.0
內,1.0,1.0,1.0,10.0
全,0.7692307692307693,1.0,0.8695652173913044,10.0
兩,1.0,1.0,1.0,6.0
八,1.0,1.0,1.0,17.0
公,1.0,1.0,1.0,10.0
六,1.0,1.0,1.0,7.0
共,1.0,1.0,1.0,7.0
兵,1.0,1.0,1.0,7.0
其,1.0,1.0,1.0,10.0
具,0.8333333333333334,1.0,0.9090909090909091,10.0
典,1.0,1.0,1.0,10.0
兼,1.0,0.8571428571428571,0.923076923076923,7.0
冀,0.8571428571428571,1.0,0.923076923076923,6.0
冊,1.0,1.0,1.0,17.0
再,1.0,1.0,1.0,17.0
冒,1.0,1.0,1.0,17.0
冠,1.0,1.0,1.0,10.0
冤,1.0,1.0,1.0,6.0
冪,1.0,1.0,1.0,6.0
冬,0.9444444444444444,1.0,0.9714285714285714,17.0
冰,1.0,1.0,1.0,6.0
冶,1.0,1.0,1.0,7.0
冷,0.9090909090909091,1.0,0.9523809523809523,10.0
凌,1.0,1.0,1.0,10.0
凍,1.0,1.0,1.0,10.0
凝,1.0,0.8571428571428571,0.923076923076923,7.0
凡,1.0,1.0,1.0,7.0
凱,1.0,1.0,1.0,10.0
凸,1.0,1.0,1.0,7.0
凹,0.9444444444444444,1.0,0.9714285714285714,17.0
出,1.0,0.8571428571428571,0.923076923076923,7.0
函,1.0,1.0,1.0,17.0
刀,1.0,1.0,1.0,7.0
刃,1.0,1.0,1.0,7.0
分,1.0,1.0,1.0,10.0
切,1.0,1.0,1.0,7.0
刊,1.0,1.0,1.0,7.0
刑,1.0,1.0,1.0,7.0
列,1.0,1.0,1.0,7.0
初,1.0,1.0,1.0,17.0
判,1.0,1.0,1.0,7.0
別,1.0,1.0,1.0,7.0
刨,1.0,1.0,1.0,6.0
利,1.0,1.0,1.0,10.0
刮,1.0,1.0,1.0,16.0
到,1.0,1.0,1.0,17.0
制,1.0,1.0,1.0,7.0
刷,1.0,1.0,1.0,10.0
券,1.0,1.0,1.0,10.0
刺,1.0,1.0,1.0,7.0
刻,1.0,1.0,1.0,7.0
則,1.0,0.9411764705882353,0.9696969696969697,17.0
削,1.0,1.0,1.0,7.0
前,0.875,1.0,0.9333333333333333,7.0
剎,1.0,1.0,1.0,17.0
剖,1.0,1.0,1.0,7.0
剛,1.0,1.0,1.0,7.0
剝,1.0,1.0,1.0,7.0
剩,1.0,1.0,1.0,6.0
剪,1.0,1.0,1.0,16.0
副,1.0,1.0,1.0,7.0
割,1.0,1.0,1.0,7.0
創,1.0,1.0,1.0,10.0
剿,1.0,1.0,1.0,16.0
劃,1.0,1.0,1.0,17.0
劇,1.0,1.0,1.0,7.0
劈,1.0,0.8333333333333334,0.9090909090909091,6.0
劉,1.0,1.0,1.0,10.0
劍,1.0,0.8333333333333334,0.9090909090909091,6.0
