,precision,recall,f1-score,support
天,1.0,1.0,1.0,10.0
太,1.0,1.0,1.0,10.0
央,1.0,0.9,0.9473684210526316,10.0
奇,1.0,1.0,1.0,10.0
奕,1.0,1.0,1.0,10.0
女,1.0,1.0,1.0,10.0
好,1.0,1.0,1.0,10.0
如,1.0,1.0,1.0,10.0
妤,1.0,1.0,1.0,10.0
妮,1.0,1.0,1.0,10.0
妹,1.0,0.9,0.9473684210526316,10.0
委,1.0,0.9,0.9473684210526316,10.0
姚,1.0,1.0,1.0,10.0
姜,1.0,1.0,1.0,10.0
姿,0.9090909090909091,1.0,0.9523809523809523,10.0
威,1.0,1.0,1.0,10.0
娟,1.0,1.0,1.0,10.0
娥,1.0,1.0,1.0,10.0
婉,1.0,1.0,1.0,10.0
婕,1.0,1.0,1.0,10.0
婷,1.0,1.0,1.0,10.0
媒,1.0,1.0,1.0,10.0
媛,1.0,0.9,0.9473684210526316,10.0
嬌,1.0,1.0,1.0,10.0
子,1.0,1.0,1.0,10.0
孟,1.0,0.9,0.9473684210526316,10.0
孫,1.0,1.0,1.0,10.0
學,1.0,1.0,1.0,10.0
宇,1.0,1.0,1.0,10.0
守,1.0,1.0,1.0,10.0
安,1.0,1.0,1.0,10.0
宋,1.0,0.9,0.9473684210526316,10.0
宏,1.0,1.0,1.0,10.0
宗,1.0,1.0,1.0,10.0
定,1.0,1.0,1.0,10.0
宜,0.9090909090909091,1.0,0.9523809523809523,10.0
客,1.0,1.0,1.0,10.0
宣,1.0,1.0,1.0,10.0
室,1.0,1.0,1.0,10.0
宥,1.0,1.0,1.0,10.0
家,1.0,1.0,1.0,10.0
宸,1.0,1.0,1.0,10.0
容,1.0,0.9,0.9473684210526316,10.0
密,0.9090909090909091,1.0,0.9523809523809523,10.0
富,1.0,1.0,1.0,10.0
寓,1.0,0.9,0.9473684210526316,10.0
實,0.8333333333333334,1.0,0.9090909090909091,10.0
寧,1.0,1.0,1.0,10.0
寬,0.9090909090909091,1.0,0.9523809523809523,10.0
寶,1.0,1.0,1.0,10.0
專,1.0,1.0,1.0,10.0
小,1.0,1.0,1.0,10.0
尚,1.0,1.0,1.0,10.0
局,1.0,1.0,1.0,10.0
居,1.0,1.0,1.0,10.0
屋,1.0,1.0,1.0,10.0
展,1.0,1.0,1.0,10.0
屬,1.0,1.0,1.0,10.0
山,1.0,1.0,1.0,10.0
岳,1.0,1.0,1.0,10.0
峰,1.0,1.0,1.0,10.0
峻,1.0,1.0,1.0,10.0
崇,1.0,1.0,1.0,10.0
川,1.0,1.0,1.0,10.0
工,1.0,1.0,1.0,10.0
巧,1.0,1.0,1.0,10.0
巨,1.0,1.0,1.0,10.0
巫,1.0,1.0,1.0,10.0
市,1.0,1.0,1.0,10.0
希,1.0,0.9,0.9473684210526316,10.0
帝,1.0,1.0,1.0,10.0
師,1.0,1.0,1.0,10.0
常,1.0,1.0,1.0,10.0
平,1.0,1.0,1.0,10.0
年,1.0,1.0,1.0,10.0
幸,1.0,1.0,1.0,10.0
幼,1.0,1.0,1.0,10.0
店,1.0,1.0,1.0,10.0
庭,1.0,1.0,1.0,10.0
康,1.0,1.0,1.0,10.0
廈,1.0,1.0,1.0,10.0
廖,1.0,1.0,1.0,10.0
廠,1.0,1.0,1.0,10.0
廣,1.0,1.0,1.0,10.0
廷,1.0,0.9,0.9473684210526316,10.0
建,1.0,0.9,0.9473684210526316,10.0
弘,1.0,1.0,1.0,10.0
張,1.0,1.0,1.0,10.0
強,1.0,1.0,1.0,10.0
彥,1.0,1.0,1.0,10.0
彩,1.0,1.0,1.0,10.0
彬,1.0,0.9,0.9473684210526316,10.0
彭,1.0,1.0,1.0,10.0
彰,1.0,1.0,1.0,10.0
影,1.0,1.0,1.0,10.0
律,1.0,1.0,1.0,10.0
徐,1.0,1.0,1.0,10.0
得,1.0,1.0,1.0,10.0
御,1.0,1.0,1.0,10.0
復,1.0,1.0,1.0,10.0
德,1.0,1.0,1.0,10.0
心,1.0,1.0,1.0,10.0
